ts;raw;calc
2017.06.28 19:58:35:897;27.75;21.78
2017.06.28 19:58:36:957;27.75;21.78
2017.06.28 19:58:38:018;27.75;21.78
2017.06.28 19:58:39:078;27.75;21.78
2017.06.28 19:58:40:193;27.75;21.78
2017.06.28 19:58:41:254;27.76;21.78
2017.06.28 19:58:42:346;27.76;21.78
2017.06.28 19:58:43:474;27.76;21.78
2017.06.28 19:58:44:538;27.76;21.78
2017.06.28 19:58:45:622;27.76;21.79
2017.06.28 19:58:46:751;27.76;21.79
2017.06.28 19:58:47:814;27.76;21.79
2017.06.28 19:58:48:875;27.76;21.79
2017.06.28 19:58:49:938;27.76;21.79
2017.06.28 19:58:51:001;27.76;21.78
2017.06.28 19:58:52:062;27.76;21.78
2017.06.28 19:58:53:123;27.76;21.79
2017.06.28 19:58:54:186;27.76;21.79
2017.06.28 19:58:55:318;27.76;21.79
2017.06.28 19:58:56:381;27.76;21.79
2017.06.28 19:58:57:442;27.76;21.79
2017.06.28 19:58:58:507;27.76;21.79
2017.06.28 19:58:59:574;27.76;21.79
2017.06.28 19:59:00:678;27.76;21.79
2017.06.28 19:59:01:740;27.76;21.79
2017.06.28 19:59:02:824;27.76;21.79
2017.06.28 19:59:03:954;27.76;21.78
2017.06.28 19:59:05:079;27.76;21.78
2017.06.28 19:59:06:213;27.76;21.78
2017.06.28 19:59:07:333;27.76;21.78
2017.06.28 19:59:08:420;27.76;21.78
2017.06.28 19:59:09:482;27.75;21.78
2017.06.28 19:59:10:547;27.75;21.78
2017.06.28 19:59:11:610;27.75;21.78
2017.06.28 19:59:12:760;27.75;21.78
2017.06.28 19:59:14:006;27.75;21.78
2017.06.28 19:59:15:113;27.75;21.78
2017.06.28 19:59:16:176;27.75;21.78
2017.06.28 19:59:17:262;27.75;21.77
2017.06.28 19:59:18:392;27.74;21.77
2017.06.28 19:59:19:519;27.74;21.77
2017.06.28 19:59:20:645;27.74;21.77
2017.06.28 19:59:21:707;27.74;21.77
2017.06.28 19:59:22:779;27.74;21.77
2017.06.28 19:59:23:830;27.74;21.77
2017.06.28 19:59:24:879;27.74;21.77
2017.06.28 19:59:25:938;27.74;21.77
2017.06.28 19:59:27:001;27.74;21.77
2017.06.28 19:59:28:120;27.74;21.77
2017.06.28 19:59:29:246;27.74;21.77
2017.06.28 19:59:30:374;27.74;21.77
2017.06.28 19:59:31:500;27.75;21.77
2017.06.28 19:59:32:627;27.75;21.78
2017.06.28 19:59:33:753;27.75;21.78
2017.06.28 19:59:34:879;27.75;21.78
2017.06.28 19:59:36:005;27.75;21.78
2017.06.28 19:59:37:131;27.75;21.77
2017.06.28 19:59:38:193;27.74;21.77
2017.06.28 19:59:39:278;27.74;21.77
2017.06.28 19:59:40:340;27.74;21.77
2017.06.28 19:59:41:432;27.74;21.77
2017.06.28 19:59:42:557;27.74;21.77
2017.06.28 19:59:43:620;27.74;21.77
2017.06.28 19:59:44:704;27.74;21.77
2017.06.28 19:59:45:835;27.74;21.77
2017.06.28 19:59:46:961;27.74;21.77
2017.06.28 19:59:48:088;27.74;21.77
2017.06.28 19:59:49:215;27.74;21.77
2017.06.28 19:59:50:348;27.74;21.77
2017.06.28 19:59:51:467;27.75;21.77
2017.06.28 19:59:52:593;27.75;21.77
2017.06.28 19:59:53:654;27.75;21.77
2017.06.28 19:59:54:741;27.75;21.77
2017.06.28 19:59:55:871;27.75;21.77
2017.06.28 19:59:56:998;27.75;21.77
2017.06.28 19:59:58:060;27.75;21.77
2017.06.28 19:59:59:123;27.75;21.77
2017.06.28 20:00:00:274;27.75;21.77
2017.06.28 20:00:01:400;27.75;21.77
2017.06.28 20:00:02:528;27.74;21.77
2017.06.28 20:00:03:652;27.74;21.77
2017.06.28 20:00:04:779;27.73;21.76
2017.06.28 20:00:05:846;27.73;21.76
2017.06.28 20:00:06:926;27.73;21.76
2017.06.28 20:00:08:014;27.73;21.76
2017.06.28 20:00:09:182;27.73;21.76
2017.06.28 20:00:10:242;27.73;21.76
2017.06.28 20:00:11:309;27.73;21.76
2017.06.28 20:00:12:458;27.73;21.76
2017.06.28 20:00:13:519;27.73;21.76
2017.06.28 20:00:14:606;27.73;21.76
2017.06.28 20:00:15:667;27.73;21.76
2017.06.28 20:00:16:726;27.73;21.76
2017.06.28 20:00:17:786;27.73;21.76
2017.06.28 20:00:18:850;27.73;21.76
2017.06.28 20:00:19:931;27.73;21.76
2017.06.28 20:00:21:061;27.73;21.76
2017.06.28 20:00:22:186;27.73;21.77
2017.06.28 20:00:23:313;27.74;21.77
2017.06.28 20:00:24:444;27.74;21.77
2017.06.28 20:00:25:566;27.74;21.77
2017.06.28 20:00:26:627;27.75;21.78
2017.06.28 20:00:27:723;27.75;21.78
2017.06.28 20:00:28:784;27.76;21.78
2017.06.28 20:00:29:850;27.76;21.78
2017.06.28 20:00:30:993;27.76;21.78
2017.06.28 20:00:32:119;27.75;21.78
2017.06.28 20:00:33:181;27.75;21.78
2017.06.28 20:00:34:293;27.75;21.78
2017.06.28 20:00:35:374;27.75;21.78
2017.06.28 20:00:36:523;27.76;21.78
2017.06.28 20:00:37:611;27.76;21.78
2017.06.28 20:00:38:673;27.76;21.79
2017.06.28 20:00:39:734;27.76;21.79
2017.06.28 20:00:40:793;27.76;21.79
2017.06.28 20:00:41:855;27.76;21.79
2017.06.28 20:00:42:975;27.76;21.79
2017.06.28 20:00:44:100;27.77;21.79
2017.06.28 20:00:45:191;27.77;21.79
2017.06.28 20:00:46:354;27.77;21.79
2017.06.28 20:00:47:423;27.77;21.8
2017.06.28 20:00:48:502;27.78;21.8
2017.06.28 20:00:49:631;27.78;21.8
2017.06.28 20:00:50:757;27.78;21.8
2017.06.28 20:00:51:888;27.78;21.8
2017.06.28 20:00:53:009;27.78;21.8
2017.06.28 20:00:54:136;27.78;21.8
2017.06.28 20:00:55:262;27.78;21.8
2017.06.28 20:00:56:320;27.78;21.8
2017.06.28 20:00:57:380;27.78;21.8
2017.06.28 20:00:58:442;27.78;21.8
2017.06.28 20:00:59:503;27.78;21.8
2017.06.28 20:01:00:565;27.78;21.8
2017.06.28 20:01:01:713;27.78;21.8
2017.06.28 20:01:02:840;27.77;21.8
2017.06.28 20:01:03:966;27.77;21.8
2017.06.28 20:01:05:093;27.77;21.79
2017.06.28 20:01:06:219;27.77;21.79
2017.06.28 20:01:07:310;27.77;21.79
2017.06.28 20:01:08:373;27.77;21.79
2017.06.28 20:01:09:453;27.77;21.79
2017.06.28 20:01:10:513;27.77;21.79
2017.06.28 20:01:11:646;27.77;21.79
2017.06.28 20:01:12:772;27.77;21.79
2017.06.28 20:01:13:898;27.77;21.79
2017.06.28 20:01:15:025;27.77;21.79
2017.06.28 20:01:16:142;27.77;21.79
2017.06.28 20:01:17:209;27.77;21.79
2017.06.28 20:01:18:302;27.77;21.79
2017.06.28 20:01:19:364;27.77;21.79
2017.06.28 20:01:20:449;27.77;21.8
2017.06.28 20:01:21:579;27.77;21.8
2017.06.28 20:01:22:661;27.77;21.8
2017.06.28 20:01:23:727;27.77;21.79
2017.06.28 20:01:24:857;27.77;21.79
2017.06.28 20:01:25:982;27.77;21.79
2017.06.28 20:01:27:046;27.77;21.79
2017.06.28 20:01:28:129;27.77;21.79
2017.06.28 20:01:29:193;27.77;21.79
2017.06.28 20:01:30:254;27.77;21.79
2017.06.28 20:01:31:314;27.77;21.79
2017.06.28 20:01:32:383;27.77;21.79
2017.06.28 20:01:33:456;27.77;21.79
2017.06.28 20:01:34:583;27.77;21.79
2017.06.28 20:01:35:711;27.77;21.79
2017.06.28 20:01:36:837;27.77;21.79
2017.06.28 20:01:37:966;27.77;21.79
2017.06.28 20:01:39:107;27.77;21.79
2017.06.28 20:01:40:179;27.77;21.79
2017.06.28 20:01:41:240;27.77;21.79
2017.06.28 20:01:42:302;27.76;21.79
2017.06.28 20:01:43:387;27.76;21.79
2017.06.28 20:01:44:453;27.76;21.79
2017.06.28 20:01:45:537;27.76;21.78
2017.06.28 20:01:46:675;27.76;21.78
2017.06.28 20:01:47:793;27.75;21.78
2017.06.28 20:01:48:920;27.75;21.78
2017.06.28 20:01:50:046;27.75;21.77
2017.06.28 20:01:51:172;27.74;21.77
2017.06.28 20:01:52:298;27.73;21.76
2017.06.28 20:01:53:361;27.73;21.76
2017.06.28 20:01:54:469;27.73;21.76
2017.06.28 20:01:55:576;27.73;21.76
2017.06.28 20:01:56:702;27.72;21.76
2017.06.28 20:01:57:828;27.72;21.76
2017.06.28 20:01:58:955;27.72;21.76
2017.06.28 20:02:00:081;27.72;21.76
2017.06.28 20:02:01:210;27.72;21.76
2017.06.28 20:02:02:334;27.72;21.75
2017.06.28 20:02:03:460;27.72;21.75
2017.06.28 20:02:04:586;27.71;21.75
2017.06.28 20:02:05:713;27.71;21.75
2017.06.28 20:02:06:839;27.71;21.75
2017.06.28 20:02:07:966;27.71;21.75
2017.06.28 20:02:09:027;27.71;21.75
2017.06.28 20:02:10:088;27.71;21.75
2017.06.28 20:02:11:150;27.71;21.75
2017.06.28 20:02:12:267;27.71;21.75
2017.06.28 20:02:13:329;27.71;21.75
2017.06.28 20:02:14:390;27.71;21.75
2017.06.28 20:02:15:544;27.71;21.75
2017.06.28 20:02:16:670;27.71;21.75
2017.06.28 20:02:17:796;27.71;21.75
2017.06.28 20:02:18:922;27.72;21.75
2017.06.28 20:02:20:049;27.72;21.76
2017.06.28 20:02:21:176;27.72;21.76
2017.06.28 20:02:22:245;27.73;21.76
2017.06.28 20:02:23:322;27.73;21.76
2017.06.28 20:02:24:453;27.73;21.76
2017.06.28 20:02:25:579;27.73;21.76
2017.06.28 20:02:26:641;27.73;21.76
2017.06.28 20:02:27:726;27.72;21.76
2017.06.28 20:02:28:788;27.72;21.75
2017.06.28 20:02:29:876;27.71;21.75
2017.06.28 20:02:30:939;27.71;21.75
2017.06.28 20:02:31:997;27.71;21.75
2017.06.28 20:02:33:157;27.71;21.75
2017.06.28 20:02:34:282;27.71;21.75
2017.06.28 20:02:35:346;27.71;21.74
2017.06.28 20:02:36:407;27.7;21.74
2017.06.28 20:02:37:559;27.7;21.74
2017.06.28 20:02:38:686;27.7;21.74
2017.06.28 20:02:39:812;27.7;21.74
2017.06.28 20:02:40:938;27.7;21.74
2017.06.28 20:02:41:999;27.7;21.74
2017.06.28 20:02:43:066;27.7;21.74
2017.06.28 20:02:44:215;27.7;21.74
2017.06.28 20:02:45:342;27.7;21.74
2017.06.28 20:02:46:468;27.71;21.74
2017.06.28 20:02:47:532;27.71;21.74
2017.06.28 20:02:48:616;27.71;21.74
2017.06.28 20:02:49:745;27.71;21.74
2017.06.28 20:02:50:871;27.71;21.75
2017.06.28 20:02:51:998;27.71;21.75
2017.06.28 20:02:53:124;27.71;21.74
2017.06.28 20:02:54:251;27.71;21.74
2017.06.28 20:02:55:301;27.71;21.74
2017.06.28 20:02:56:357;27.71;21.74
2017.06.28 20:02:57:527;27.7;21.74
2017.06.28 20:02:58:653;27.7;21.74
2017.06.28 20:02:59:744;27.7;21.74
2017.06.28 20:03:00:907;27.7;21.74
2017.06.28 20:03:02:033;27.7;21.74
2017.06.28 20:03:03:160;27.7;21.74
2017.06.28 20:03:04:286;27.7;21.74
2017.06.28 20:03:05:347;27.7;21.74
2017.06.28 20:03:06:412;27.7;21.74
2017.06.28 20:03:07:562;27.71;21.74
2017.06.28 20:03:08:625;27.71;21.75
2017.06.28 20:03:09:685;27.71;21.75
2017.06.28 20:03:10:839;27.71;21.75
2017.06.28 20:03:11:902;27.71;21.75
2017.06.28 20:03:12:962;27.71;21.74
2017.06.28 20:03:14:116;27.71;21.74
2017.06.28 20:03:15:242;27.71;21.74
2017.06.28 20:03:16:305;27.71;21.75
2017.06.28 20:03:17:365;27.71;21.75
2017.06.28 20:03:18:427;27.71;21.75
2017.06.28 20:03:19:542;27.71;21.75
2017.06.28 20:03:20:673;27.71;21.75
2017.06.28 20:03:21:796;27.71;21.75
2017.06.28 20:03:23:052;27.71;21.75
2017.06.28 20:03:24:148;27.71;21.75
2017.06.28 20:03:25:199;27.71;21.75
2017.06.28 20:03:26:267;27.71;21.75
2017.06.28 20:03:27:428;27.71;21.75
2017.06.28 20:03:28:489;27.71;21.75
2017.06.28 20:03:29:576;27.72;21.75
2017.06.28 20:03:30:704;27.72;21.76
2017.06.28 20:03:31:843;27.72;21.76
2017.06.28 20:03:32:904;27.73;21.76
2017.06.28 20:03:33:978;27.73;21.76
2017.06.28 20:03:35:041;27.73;21.76
2017.06.28 20:03:36:132;27.73;21.76
2017.06.28 20:03:37:192;27.73;21.76
2017.06.28 20:03:38:279;27.73;21.76
2017.06.28 20:03:39:341;27.73;21.77
2017.06.28 20:03:40:403;27.74;21.77
2017.06.28 20:03:41:464;27.74;21.77
2017.06.28 20:03:42:584;27.74;21.77
2017.06.28 20:03:43:648;27.74;21.77
2017.06.28 20:03:44:731;27.74;21.77
2017.06.28 20:03:45:792;27.73;21.76
2017.06.28 20:03:46:881;27.73;21.76
2017.06.28 20:03:47:942;27.73;21.76
2017.06.28 20:03:49:031;27.72;21.76
2017.06.28 20:03:50:161;27.72;21.76
2017.06.28 20:03:51:243;27.72;21.76
2017.06.28 20:03:52:413;27.72;21.76
2017.06.28 20:03:53:475;27.72;21.76
2017.06.28 20:03:54:535;27.72;21.76
2017.06.28 20:03:55:595;27.72;21.76
2017.06.28 20:03:56:716;27.72;21.76
2017.06.28 20:03:57:779;27.73;21.76
2017.06.28 20:03:58:839;27.73;21.76
2017.06.28 20:03:59:991;27.73;21.76
2017.06.28 20:04:01:052;27.73;21.76
2017.06.28 20:04:02:140;27.73;21.76
2017.06.28 20:04:03:220;27.73;21.77
2017.06.28 20:04:04:281;27.73;21.77
2017.06.28 20:04:05:419;27.73;21.77
2017.06.28 20:04:06:480;27.73;21.77
2017.06.28 20:04:07:566;27.74;21.77
2017.06.28 20:04:08:628;27.74;21.77
2017.06.28 20:04:09:744;27.74;21.77
2017.06.28 20:04:10:810;27.74;21.77
2017.06.28 20:04:11:871;27.74;21.77
2017.06.28 20:04:12:932;27.74;21.77
2017.06.28 20:04:13:993;27.74;21.77
2017.06.28 20:04:15:146;27.74;21.77
2017.06.28 20:04:16:272;27.75;21.77
2017.06.28 20:04:17:426;27.75;21.78
2017.06.28 20:04:18:526;27.75;21.77
2017.06.28 20:04:19:655;27.75;21.77
2017.06.28 20:04:20:778;27.75;21.77
2017.06.28 20:04:21:905;27.75;21.77
2017.06.28 20:04:23:058;27.75;21.78
2017.06.28 20:04:24:260;27.75;21.78
2017.06.28 20:04:25:314;27.75;21.78
2017.06.28 20:04:26:373;27.75;21.78
2017.06.28 20:04:27:536;27.75;21.78
2017.06.28 20:04:28:665;27.75;21.78
2017.06.28 20:04:29:732;27.75;21.78
2017.06.28 20:04:30:810;27.76;21.78
2017.06.28 20:04:31:940;27.76;21.78
2017.06.28 20:04:33:001;27.76;21.78
2017.06.28 20:04:34:063;27.76;21.79
2017.06.28 20:04:35:218;27.76;21.79
2017.06.28 20:04:36:281;27.76;21.79
2017.06.28 20:04:37:364;27.77;21.79
2017.06.28 20:04:38:426;27.77;21.79
2017.06.28 20:04:39:487;27.77;21.79
2017.06.28 20:04:40:645;27.77;21.79
2017.06.28 20:04:41:706;27.77;21.79
2017.06.28 20:04:42:791;27.77;21.79
2017.06.28 20:04:43:853;27.77;21.79
2017.06.28 20:04:44:941;27.77;21.79
2017.06.28 20:04:46:004;27.77;21.79
2017.06.28 20:04:47:092;27.77;21.79
2017.06.28 20:04:48:221;27.77;21.79
2017.06.28 20:04:49:348;27.77;21.79
2017.06.28 20:04:50:409;27.77;21.79
2017.06.28 20:04:51:494;27.77;21.79
2017.06.28 20:04:52:627;27.76;21.79
2017.06.28 20:04:53:751;27.76;21.79
2017.06.28 20:04:54:814;27.76;21.78
2017.06.28 20:04:55:900;27.76;21.78
2017.06.28 20:04:57:030;27.75;21.78
2017.06.28 20:04:58:094;27.75;21.78
2017.06.28 20:04:59:175;27.75;21.78
2017.06.28 20:05:00:305;27.75;21.78
2017.06.28 20:05:01:367;27.75;21.78
2017.06.28 20:05:02:456;27.75;21.78
2017.06.28 20:05:03:521;27.75;21.78
2017.06.28 20:05:04:583;27.75;21.78
2017.06.28 20:05:05:732;27.75;21.78
2017.06.28 20:05:06:858;27.76;21.78
2017.06.28 20:05:07:985;27.76;21.78
2017.06.28 20:05:09:046;27.76;21.78
2017.06.28 20:05:10:132;27.76;21.79
2017.06.28 20:05:11:195;27.76;21.79
2017.06.28 20:05:12:282;27.76;21.79
2017.06.28 20:05:13:388;27.76;21.79
2017.06.28 20:05:14:449;27.76;21.79
2017.06.28 20:05:15:562;27.76;21.79
2017.06.28 20:05:16:688;27.76;21.79
2017.06.28 20:05:17:815;27.76;21.79
2017.06.28 20:05:18:942;27.76;21.79
2017.06.28 20:05:20:068;27.76;21.79
2017.06.28 20:05:21:194;27.76;21.79
2017.06.28 20:05:22:377;27.76;21.79
2017.06.28 20:05:23:443;27.76;21.79
2017.06.28 20:05:24:574;27.76;21.79
2017.06.28 20:05:25:713;27.76;21.78
2017.06.28 20:05:26:827;27.75;21.78
2017.06.28 20:05:27:953;27.75;21.78
2017.06.28 20:05:29:015;27.75;21.78
2017.06.28 20:05:30:103;27.75;21.78
2017.06.28 20:05:31:229;27.75;21.77
2017.06.28 20:05:32:355;27.75;21.77
2017.06.28 20:05:33:418;27.75;21.77
2017.06.28 20:05:35:203;27.75;21.78
2017.06.28 20:05:36:265;27.75;21.78
2017.06.28 20:05:37:331;27.75;21.78
2017.06.28 20:05:38:393;27.75;21.78
2017.06.28 20:05:39:458;27.75;21.77
2017.06.28 20:05:40:521;27.75;21.77
2017.06.28 20:05:41:582;27.75;21.77
2017.06.28 20:05:42:648;27.75;21.78
2017.06.28 20:05:43:711;27.75;21.78
2017.06.28 20:05:44:773;27.75;21.78
2017.06.28 20:05:45:835;27.75;21.77
2017.06.28 20:05:46:896;27.74;21.77
2017.06.28 20:05:47:959;27.74;21.77
2017.06.28 20:05:49:019;27.74;21.77
2017.06.28 20:05:50:104;27.74;21.77
2017.06.28 20:05:51:167;27.74;21.77
2017.06.28 20:05:52:228;27.74;21.77
2017.06.28 20:05:53:290;27.74;21.77
2017.06.28 20:05:54:432;27.74;21.77
2017.06.28 20:05:55:480;27.74;21.77
2017.06.28 20:05:56:538;27.73;21.77
2017.06.28 20:05:57:601;27.73;21.76
2017.06.28 20:05:58:664;27.73;21.76
2017.06.28 20:05:59:733;27.73;21.76
2017.06.28 20:06:00:794;27.73;21.76
2017.06.28 20:06:01:858;27.73;21.76
2017.06.28 20:06:02:922;27.73;21.76
2017.06.28 20:06:03:986;27.73;21.76
2017.06.28 20:06:05:050;27.73;21.76
2017.06.28 20:06:06:112;27.73;21.76
2017.06.28 20:06:07:175;27.73;21.77
2017.06.28 20:06:08:238;27.74;21.77
2017.06.28 20:06:09:299;27.74;21.77
2017.06.28 20:06:10:386;27.74;21.77
2017.06.28 20:06:11:448;27.75;21.77
2017.06.28 20:06:12:509;27.75;21.78
2017.06.28 20:06:13:570;27.75;21.78
2017.06.28 20:06:14:638;27.76;21.78
2017.06.28 20:06:15:700;27.76;21.78
2017.06.28 20:06:16:761;27.76;21.79
2017.06.28 20:06:17:822;27.76;21.79
2017.06.28 20:06:18:894;27.77;21.79
2017.06.28 20:06:19:955;27.77;21.79
2017.06.28 20:06:21:023;27.77;21.79
2017.06.28 20:06:22:084;27.78;21.8
2017.06.28 20:06:23:162;27.78;21.8
2017.06.28 20:06:24:230;27.78;21.8
2017.06.28 20:06:25:284;27.79;21.8
2017.06.28 20:06:26:349;27.79;21.81
2017.06.28 20:06:27:410;27.79;21.81
2017.06.28 20:06:28:470;27.79;21.81
2017.06.28 20:06:29:532;27.79;21.81
2017.06.28 20:06:30:594;27.8;21.81
2017.06.28 20:06:31:656;27.8;21.81
2017.06.28 20:06:32:719;27.8;21.81
2017.06.28 20:06:33:847;27.8;21.81
2017.06.28 20:06:34:911;27.8;21.81
2017.06.28 20:06:35:974;27.79;21.81
2017.06.28 20:06:37:034;27.79;21.81
2017.06.28 20:06:38:095;27.79;21.81
2017.06.28 20:06:39:158;27.79;21.81
2017.06.28 20:06:40:223;27.79;21.81
2017.06.28 20:06:41:299;27.79;21.81
2017.06.28 20:06:42:365;27.79;21.81
2017.06.28 20:06:43:431;27.8;21.81
2017.06.28 20:06:44:492;27.8;21.81
2017.06.28 20:06:45:553;27.79;21.81
2017.06.28 20:06:46:617;27.79;21.81
2017.06.28 20:06:47:680;27.79;21.81
2017.06.28 20:06:48:742;27.79;21.81
2017.06.28 20:06:49:803;27.79;21.81
2017.06.28 20:06:50:865;27.79;21.81
2017.06.28 20:06:51:928;27.79;21.8
2017.06.28 20:06:52:988;27.79;21.8
2017.06.28 20:06:54:056;27.79;21.8
2017.06.28 20:06:55:125;27.79;21.8
2017.06.28 20:06:56:182;27.78;21.8
2017.06.28 20:06:57:239;27.79;21.8
2017.06.28 20:06:58:300;27.78;21.8
2017.06.28 20:06:59:367;27.79;21.8
2017.06.28 20:07:00:429;27.79;21.8
2017.06.28 20:07:01:491;27.79;21.81
2017.06.28 20:07:02:554;27.79;21.81
2017.06.28 20:07:03:618;27.79;21.81
2017.06.28 20:07:04:682;27.79;21.81
2017.06.28 20:07:05:743;27.79;21.81
2017.06.28 20:07:06:812;27.79;21.81
2017.06.28 20:07:07:874;27.8;21.81
2017.06.28 20:07:08:938;27.8;21.81
2017.06.28 20:07:10:015;27.8;21.82
2017.06.28 20:07:11:078;27.8;21.82
2017.06.28 20:07:12:138;27.8;21.82
2017.06.28 20:07:13:198;27.8;21.82
2017.06.28 20:07:14:273;27.8;21.82
2017.06.28 20:07:15:334;27.8;21.82
2017.06.28 20:07:16:395;27.81;21.82
2017.06.28 20:07:17:458;27.81;21.82
2017.06.28 20:07:18:523;27.81;21.82
2017.06.28 20:07:19:589;27.8;21.82
2017.06.28 20:07:20:653;27.81;21.82
2017.06.28 20:07:21:713;27.81;21.82
2017.06.28 20:07:22:785;27.81;21.82
2017.06.28 20:07:23:837;27.81;21.82
2017.06.28 20:07:24:914;27.81;21.82
2017.06.28 20:07:25:980;27.81;21.82
2017.06.28 20:07:27:046;27.81;21.82
2017.06.28 20:07:28:111;27.81;21.82
2017.06.28 20:07:29:174;27.81;21.82
2017.06.28 20:07:30:239;27.81;21.82
2017.06.28 20:07:31:300;27.81;21.82
2017.06.28 20:07:32:361;27.81;21.82
2017.06.28 20:07:33:423;27.81;21.82
2017.06.28 20:07:34:489;27.81;21.82
2017.06.28 20:07:35:553;27.81;21.82
2017.06.28 20:07:36:614;27.81;21.82
2017.06.28 20:07:37:678;27.81;21.82
2017.06.28 20:07:38:742;27.81;21.82
2017.06.28 20:07:39:804;27.81;21.82
2017.06.28 20:07:40:865;27.81;21.82
2017.06.28 20:07:41:938;27.81;21.82
2017.06.28 20:07:43:022;27.8;21.82
2017.06.28 20:07:44:084;27.8;21.82
2017.06.28 20:07:45:147;27.8;21.81
2017.06.28 20:07:46:212;27.79;21.81
2017.06.28 20:07:47:274;27.79;21.81
2017.06.28 20:07:48:336;27.79;21.8
2017.06.28 20:07:49:398;27.78;21.8
2017.06.28 20:07:50:463;27.78;21.8
2017.06.28 20:07:51:524;27.77;21.79
2017.06.28 20:07:52:586;27.77;21.79
2017.06.28 20:07:53:647;27.77;21.79
2017.06.28 20:07:54:708;27.77;21.79
2017.06.28 20:07:55:760;27.77;21.79
2017.06.28 20:07:56:820;27.77;21.79
2017.06.28 20:07:57:882;27.76;21.79
2017.06.28 20:07:58:943;27.76;21.79
2017.06.28 20:08:00:011;27.76;21.79
2017.06.28 20:08:01:096;27.76;21.79
2017.06.28 20:08:02:176;27.76;21.78
2017.06.28 20:08:03:235;27.76;21.78
2017.06.28 20:08:04:296;27.76;21.79
2017.06.28 20:08:05:362;27.76;21.79
2017.06.28 20:08:06:425;27.76;21.79
2017.06.28 20:08:07:487;27.76;21.79
2017.06.28 20:08:08:554;27.76;21.79
2017.06.28 20:08:09:615;27.76;21.79
2017.06.28 20:08:10:677;27.77;21.79
2017.06.28 20:08:11:737;27.77;21.79
2017.06.28 20:08:12:799;27.77;21.8
2017.06.28 20:08:13:860;27.78;21.8
2017.06.28 20:08:14:923;27.78;21.8
2017.06.28 20:08:15:985;27.78;21.8
2017.06.28 20:08:17:047;27.78;21.8
2017.06.28 20:08:18:109;27.78;21.8
2017.06.28 20:08:19:170;27.78;21.8
2017.06.28 20:08:20:231;27.78;21.8
2017.06.28 20:08:21:292;27.78;21.8
2017.06.28 20:08:22:389;27.78;21.8
2017.06.28 20:08:23:440;27.77;21.8
2017.06.28 20:08:24:497;27.77;21.79
2017.06.28 20:08:25:554;27.77;21.79
2017.06.28 20:08:26:634;27.76;21.79
2017.06.28 20:08:27:698;27.76;21.78
2017.06.28 20:08:28:762;27.76;21.78
2017.06.28 20:08:29:822;27.75;21.78
2017.06.28 20:08:30:884;27.75;21.78
2017.06.28 20:08:31:945;27.75;21.77
2017.06.28 20:08:33:007;27.74;21.77
2017.06.28 20:08:34:071;27.74;21.77
2017.06.28 20:08:35:135;27.74;21.77
2017.06.28 20:08:36:197;27.74;21.77
2017.06.28 20:08:37:263;27.74;21.77
2017.06.28 20:08:38:328;27.74;21.77
2017.06.28 20:08:39:392;27.73;21.77
2017.06.28 20:08:40:456;27.73;21.76
2017.06.28 20:08:41:519;27.73;21.76
2017.06.28 20:08:42:580;27.73;21.76
2017.06.28 20:08:43:641;27.72;21.76
2017.06.28 20:08:44:704;27.72;21.75
2017.06.28 20:08:45:765;27.72;21.75
2017.06.28 20:08:46:827;27.72;21.75
2017.06.28 20:08:47:889;27.71;21.75
2017.06.28 20:08:48:949;27.71;21.75
2017.06.28 20:08:50:021;27.7;21.74
2017.06.28 20:08:51:092;27.69;21.74
2017.06.28 20:08:52:155;27.69;21.73
2017.06.28 20:08:53:216;27.69;21.73
2017.06.28 20:08:54:282;27.69;21.73
2017.06.28 20:08:55:332;27.69;21.73
2017.06.28 20:08:56:385;27.69;21.73
2017.06.28 20:08:57:445;27.69;21.73
2017.06.28 20:08:58:516;27.69;21.73
2017.06.28 20:08:59:579;27.69;21.74
2017.06.28 20:09:00:638;27.7;21.74
2017.06.28 20:09:01:700;27.7;21.74
2017.06.28 20:09:02:759;27.7;21.74
2017.06.28 20:09:03:821;27.7;21.74
2017.06.28 20:09:04:886;27.71;21.74
2017.06.28 20:09:05:946;27.71;21.75
2017.06.28 20:09:07:009;27.71;21.75
2017.06.28 20:09:08:072;27.71;21.75
2017.06.28 20:09:09:139;27.72;21.75
2017.06.28 20:09:10:202;27.72;21.76
2017.06.28 20:09:11:262;27.72;21.76
2017.06.28 20:09:12:327;27.73;21.76
2017.06.28 20:09:13:395;27.73;21.76
2017.06.28 20:09:14:454;27.73;21.76
2017.06.28 20:09:15:517;27.73;21.77
2017.06.28 20:09:16:586;27.74;21.77
2017.06.28 20:09:17:653;27.74;21.77
2017.06.28 20:09:18:715;27.74;21.77
2017.06.28 20:09:19:776;27.74;21.77
2017.06.28 20:09:20:841;27.74;21.77
2017.06.28 20:09:21:901;27.74;21.77
2017.06.28 20:09:23:129;27.74;21.77
2017.06.28 20:09:24:307;27.75;21.77
2017.06.28 20:09:25:384;27.75;21.78
2017.06.28 20:09:26:543;27.75;21.78
2017.06.28 20:09:27:712;27.75;21.78
2017.06.28 20:09:28:868;27.76;21.78
2017.06.28 20:09:29:964;27.76;21.78
2017.06.28 20:09:31:142;27.76;21.79
2017.06.28 20:09:32:205;27.76;21.79
2017.06.28 20:09:33:303;27.76;21.79
2017.06.28 20:09:34:367;27.77;21.79
2017.06.28 20:09:35:450;27.77;21.79
2017.06.28 20:09:36:580;27.77;21.79
